ID,Hotel Name,Location
1,,"Corfu, Greece"
2,,"Cabrera, Dominican Republic"
3,,"Ushuaia, Argentina"
4,,"Cappadocia, Turkey"
5,,"Budapest, Hungary"
6,,"Cappadocia, Turkey"
7,,"Las Vegas, Nevada, United States"
8,,"Phoenix, Arizona, United States"
9,,"Dubai, United Arab Emirates"
10,,"Milan, Italy"
11,Angsana Corfu Resort & Spa,"Truth Or Consequences, New Mexico, United States"
12,ANI Dominican Republic,"County Mayo, Ireland"
13,Arakur Ushuaia Resort & Spa,"Tinqueux, France"
14,Argos in Cappadocia,"Dubai, United Arab Emirates"
15,Aria Hotel Budapest by Library Hotel Collection,"Chantilly, France"
16,Ariana Sustainable Luxury Lodge,"Québec City, Quebec, Canada"
17,ARIA Sky Suites,"Prague, Czech Republic"
18,"Arizona Biltmore, LXR Hotels & Resorts","Rendezvous Bay, Anguilla"
19,Armani Hotel Dubai,"Austin, Texas, United States"
20,Armani Hotel Milano,"New York, New York, United States"
21,"Armendaris, A Ted Turner Reserve","St. Moritz, Switzerland"
22,Ashford Castle,"London, United Kingdom"
23,Assiette Champenoise,"Venice, Italy"
24,Atlantis The Royal Dubai,"Rome, Italy"
25,"Auberge du Jeu de Paume, Chantilly, Relais & Châteaux","Tenerife, Spain"
26,Auberge Saint-Antoine - Relais & Châteaux,"Lisbon, Portugal"
27,"Augustine, a Luxury Collection Hotel, Prague","Ballyfin, Ireland"
28,Aurora Anguilla Resort & Golf Club,"Galway, Ireland"
29,"Austin Proper Hotel & Residences, a Member of Design Hotels","Palawan, Philippines"
30,Baccarat Hotel New York,"AlUla, Saudi Arabia"
31,Badrutt's Palace Hotel,"Doha, Qatar"
32,Baglioni Hotel London,"Krabi, Thailand"
33,Baglioni Hotel Luna,"Phuket, Thailand"
34,Baglioni Hotel Regina,"Puebla, Mexico"
35,Bahia del Duque,"Koh Samui, Thailand"
36,Bairro Alto Hotel,"Fnideq, Morocco"
37,Ballyfin,"Willemstad, Curacao"
38,Ballynahinch Castle,"Yountville, California, United States"
39,Banwa Private Island,"Les Baux-de-Provence, France"
40,Banyan Tree AlUla,"Zurich, Switzerland"
41,Banyan Tree Doha,"Boca Raton, Florida, United States"
42,Banyan Tree Krabi,"Providenciales, Turks And Caicos Islands"
43,Banyan Tree Phuket,"San Diego, California, United States"
44,Banyan Tree Puebla,"Geneva, Switzerland"
45,Banyan Tree Samui,"Lausanne, Switzerland"
46,Banyan Tree Tamouda Bay,"Leatherhead, United Kingdom"
47,Baoase Luxury Resort,"Beijing, China"
48,Bardessono Hotel & Spa,"Portimao, Portugal"
49,Baumanière Les Baux-de-Provence,"Las Vegas, Nevada, United States"
50,Baur au Lac,"Hongkou, China"
51,Beach Club at The Boca Raton,"Bern, Switzerland"
52,Beach Enclave,"Mykonos, Greece"
53,"Beach Village at The Del, LXR Hotels & Resorts","Mizpe Ramon, Israel"
54,"Beau-Rivage, Geneva","Carmel Valley, California, United States"
55,Beau-Rivage Palace,"Beverly Hills, California, United States"
56,Beaverbrook,"Munich, Germany"
57,Beijing Hotel NUO,"Mykonos, Greece"
58,Bela Vista Hotel & Spa,"Hermanus, South Africa"
59,Bellagio,"Toronto, Ontario, Canada"
60,Bellagio by MGM Shanghai,"Santa Fe, New Mexico, United States"
61,Bellevue Palace,"Ibiza, Spain"
62,Belvedere Hotel Mykonos,"Perugia, Italy"
63,Beresheet,"Savelletri, Italy"
64,"Bernardus Lodge & Spa, Carmel Valley","Volterra, Italy"
65,"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","Castelnuovo Berardenga, Italy"
66,BEYOND by Geisel,"Amalfi, Italy"
67,Bill and Coo Hotels Mykonos,"Siena, Italy"
68,Birkenhead House,"Boston, Massachusetts, United States"
69,Bisha Hotel Toronto,"Campos Do Jordao, Brazil"
70,"Bishop's Lodge, Auberge Resorts Collection","Mali Losinj, Croatia"
71,Bless Hotel Ibiza,"Fort Worth, Texas, United States"
72,Borgo dei Conti Resort,"Dusseldorf, Germany"
73,Borgo Egnazia,"Baden- Baden , Germany"
74,Borgo Pignano Tuscany,"Panama City, Panama"
75,Borgo San Felice Resort,"Trondheim, Norway"
76,Borgo Santandrea,"London, United Kingdom"
77,Borgo Santo Pietro,"Florence, Italy"
78,Boston Harbor Hotel,"Ubud, Indonesia"
79,Botanique Hotel Experience,"Boca Raton, Florida, United States"
80,Boutique Hotel Alhambra,"Buergenstock, Switzerland"
81,"Bowie House, Auberge Resorts Collection","Beijing, China"
82,Breidenbacher Hof,"London, United Kingdom"
83,"Brenners Park-Hotel & Spa, Oetker Collection","Milan, Italy"
84,Bristol Panama,"Paris, France"
85,Britannia Hotel,"Rome, Italy"
86,"Brown's Hotel, a Rocco Forte Hotel","Shanghai, China"
87,Brunelleschi Hotel,"Tokyo, Japan"
88,"Buahan, A Banyan Tree Escape","Bali, Indonesia"
89,Bungalows at The Boca Raton,"Dubai, United Arab Emirates"
90,Burgenstock Hotel and Alpine Spa - The Contemporary,"Capri, Italy"
91,Bvlgari Hotel Beijing,"Saint George, Grenada"
92,Bvlgari Hotel London,"Ixtapa, Mexico"
93,Bvlgari Hotel Milano,"Teton Village, Wyoming, United States"
94,Bvlgari Hotel Paris,"Mykonos, Greece"
95,Bvlgari Hotel Roma,"Scotland, United Kingdom"
96,Bvlgari Hotel Shanghai,"Santorini, Greece"
97,Bvlgari Hotel Tokyo,"Santorini, Greece"
98,Bvlgari Resort Bali,"Santorini, Greece"
99,Bvlgari Resort Dubai,"Oía, Greece"
100,Caesar Augustus Relais & Chateaux,"Koh Samui, Thailand"
101,Calabash Hotel,"Cape Town, South Africa"
102,Cala de Mar Resort & Spa Ixtapa,"Bangkok, Thailand"
103,Caldera House,"Hanoi, Vietnam"
104,Cali Mykonos,"Shanghai, China"
105,Cameron House on Loch Lomond,"Singapore, Singapore"
106,Canaves Ena,"Sydney, Australia"
107,Canaves Epitome,"Sanya, China"
108,Canaves Oia Suites,"Bonnieux, France"
109,Canaves Sunday,"Éze, France"
110,Cape Fahn Hotel,"British West Indies, Anguilla"
111,"Cape Grace, A Fairmont Managed Hotel","Gros Islet, Saint Lucia"
112,Capella Bangkok,"Capri, Italy"
113,Capella Hanoi,"Majorca, Spain"
